,1,2,3,4,5,avg
shot_noise,0.9232,0.9172,0.9113,0.9079,0.9008,0.9120800000000001
motion_blur,0.903,0.86,0.8045,0.8047,0.7414,0.82272
snow,0.9129,0.8805,0.8561,0.8205,0.8233,0.8586600000000001
pixelate,0.923,0.9098,0.9045,0.8689,0.7818,0.8775999999999999
gaussian_noise,0.9197,0.9093,0.9064,0.904,0.902,0.9082799999999999
defocus_blur,0.9288,0.9162,0.8902,0.8504,0.7374,0.8646
brightness,0.9309,0.9247,0.9173,0.908,0.8799,0.9121599999999999
fog,0.9232,0.8947,0.8402,0.7558,0.5231,0.7874
zoom_blur,0.8887,0.8796,0.8575,0.837,0.7963,0.85182
frost,0.913,0.8911,0.8631,0.8629,0.8282,0.87166
glass_blur,0.8315,0.8311,0.8417,0.7181,0.7415,0.7927799999999999
impulse_noise,0.921,0.9102,0.8947,0.8519,0.7869,0.87294
contrast,0.917,0.8447,0.756,0.5717,0.2279,0.6634599999999999
jpeg_compression,0.9166,0.9044,0.8975,0.8897,0.88,0.89764
elastic_transform,0.893,0.8941,0.8717,0.8412,0.8139,0.8627800000000001
average,0.9097000000000001,0.8911733333333333,0.8675133333333332,0.82618,0.7576266666666667,0.8504386666666667
