,1,2,3,4,5,avg
shot_noise,0.670799970626831,0.4673999845981598,0.25220000743865967,0.07859999686479568,0.03799999877810478,0.3013999916613102
motion_blur,0.7473999857902527,0.6341999769210815,0.46619999408721924,0.313400000333786,0.2459999918937683,0.48143998980522157
snow,0.6269999742507935,0.4156000018119812,0.42559999227523804,0.3043999969959259,0.2457999885082245,0.40367999076843264
pixelate,0.8283999562263489,0.8233999609947205,0.7755999565124512,0.6656000018119812,0.557200014591217,0.7300399780273438
gaussian_noise,0.7013999819755554,0.5049999952316284,0.2345999926328659,0.08819999545812607,0.026200000196695328,0.3110799930989742
defocus_blur,0.6499999761581421,0.5699999928474426,0.40199998021125793,0.27719998359680176,0.19439999759197235,0.4187199860811234
brightness,0.8381999731063843,0.814799964427948,0.771399974822998,0.6995999813079834,0.5898000001907349,0.7427599787712097
fog,0.6129999756813049,0.5022000074386597,0.3718000054359436,0.3149999976158142,0.15779998898506165,0.3919599950313568
zoom_blur,0.6723999977111816,0.5938000082969666,0.5139999985694885,0.46480000019073486,0.39159998297691345,0.527319997549057
frost,0.7013999819755554,0.5121999979019165,0.37199997901916504,0.3495999872684479,0.2775999903678894,0.44255998730659485
glass_blur,0.7175999879837036,0.6161999702453613,0.384799987077713,0.29919999837875366,0.22859999537467957,0.44927998781204226
impulse_noise,0.5691999793052673,0.3237999975681305,0.188400000333786,0.06059999763965607,0.023399999365210533,0.2330799948424101
contrast,0.6609999537467957,0.5072000026702881,0.2741999924182892,0.07339999824762344,0.035599999129772186,0.31027998924255373
jpeg_compression,0.8143999576568604,0.7953999638557434,0.7813999652862549,0.7275999784469604,0.6049999594688416,0.7447599649429322
elastic_transform,0.7823999524116516,0.6025999784469604,0.7712000012397766,0.7053999900817871,0.4869999885559082,0.6697199821472168
average,0.7063066403071085,0.5789199868837992,0.4656933218240738,0.36150666028261186,0.2735999930649996,0.47720532047251857
