,1,2,3,4,5,avg
shot_noise,0.7513999938964844,0.6575999855995178,0.5356000065803528,0.3393999934196472,0.21299999952316284,0.499399995803833
motion_blur,0.7997999787330627,0.7275999784469604,0.5801999568939209,0.4068000018596649,0.31219998002052307,0.5653199791908264
snow,0.6723999977111816,0.4171999990940094,0.4603999853134155,0.3271999955177307,0.2377999871969223,0.4229999929666519
pixelate,0.8463999629020691,0.8443999886512756,0.8041999936103821,0.715399980545044,0.6089999675750732,0.7638799786567688
gaussian_noise,0.7595999836921692,0.6599999666213989,0.5216000080108643,0.34540000557899475,0.14180000126361847,0.48567999303340914
defocus_blur,0.7251999974250793,0.6545999646186829,0.5101999640464783,0.362199991941452,0.2507999837398529,0.5005999803543091
brightness,0.8515999913215637,0.8229999542236328,0.7793999910354614,0.7103999853134155,0.6053999662399292,0.7539599776268006
fog,0.6367999911308289,0.5253999829292297,0.39399999380111694,0.34619998931884766,0.1833999902009964,0.4171599894762039
zoom_blur,0.7342000007629395,0.6627999544143677,0.5971999764442444,0.5371999740600586,0.4643999934196472,0.5991599798202515
frost,0.7139999866485596,0.5144000053405762,0.370199978351593,0.3507999777793884,0.27379998564720154,0.4446399867534637
glass_blur,0.7631999850273132,0.6782000064849854,0.4619999825954437,0.375,0.2696000039577484,0.5095999956130981
impulse_noise,0.7211999893188477,0.6039999723434448,0.5119999647140503,0.321399986743927,0.13599999248981476,0.45891998112201693
contrast,0.6965999603271484,0.5537999868392944,0.31859999895095825,0.07880000025033951,0.03219999745488167,0.33599998876452447
jpeg_compression,0.8294000029563904,0.818399965763092,0.7965999841690063,0.7479999661445618,0.6627999544143677,0.7710399746894836
elastic_transform,0.8087999820709229,0.6299999952316284,0.792199969291687,0.7337999939918518,0.5275999903678894,0.6984799861907959
average,0.754039986928304,0.6514266471068064,0.5622933169205984,0.44653332283099495,0.3279866529007753,0.5484559853374958
