,1,2,3,4,5,avg
shot_noise,0.6703999638557434,0.46879997849464417,0.2825999855995178,0.10799999535083771,0.05719999969005585,0.31739998459815977
motion_blur,0.7400000095367432,0.6259999871253967,0.4675999879837036,0.30799999833106995,0.24300000071525574,0.4769199967384338
snow,0.6455999612808228,0.4138000011444092,0.4487999975681305,0.31540000438690186,0.24740000069141388,0.41419999301433563
pixelate,0.824999988079071,0.8179999589920044,0.7689999938011169,0.6561999917030334,0.551800012588501,0.7239999890327453
gaussian_noise,0.6979999542236328,0.5171999931335449,0.27879998087882996,0.11459999531507492,0.039000000804662704,0.3295199848711491
defocus_blur,0.6735999584197998,0.592799961566925,0.4438000023365021,0.3243999779224396,0.21899999678134918,0.45071997940540315
brightness,0.8371999859809875,0.8105999827384949,0.7763999700546265,0.7143999934196472,0.6133999824523926,0.7503999829292297
fog,0.6011999845504761,0.4797999858856201,0.34759998321533203,0.2906000018119812,0.141199991106987,0.37207998931407926
zoom_blur,0.6836000084877014,0.602400004863739,0.5157999992370605,0.4603999853134155,0.39259999990463257,0.5309599995613098
frost,0.7081999778747559,0.5121999979019165,0.3646000027656555,0.3425999879837036,0.26899999380111694,0.4393199920654297
glass_blur,0.7277999520301819,0.6351999640464783,0.4221999943256378,0.32999998331069946,0.23839999735355377,0.47071997821331024
impulse_noise,0.5787999629974365,0.34779998660087585,0.2247999906539917,0.09059999883174896,0.041999999433755875,0.25679998770356177
contrast,0.6595999598503113,0.5059999823570251,0.282399982213974,0.07939999550580978,0.03619999811053276,0.3127199836075306
jpeg_compression,0.8161999583244324,0.7931999564170837,0.7784000039100647,0.7253999710083008,0.6105999946594238,0.7447599768638611
elastic_transform,0.7789999842643738,0.6143999695777893,0.7685999870300293,0.701200008392334,0.4901999831199646,0.6706799864768982
average,0.7096133073170979,0.5825466473897298,0.4780933241049449,0.3707466592391332,0.2793999967475732,0.4840799869596958
