,1,2,3,4,5,avg
shot_noise,0.7021999955177307,0.5615999698638916,0.38920000195503235,0.1899999976158142,0.10740000009536743,0.39007999300956725
motion_blur,0.753600001335144,0.6687999963760376,0.5374000072479248,0.40699997544288635,0.3278000056743622,0.538919997215271
snow,0.6613999605178833,0.49059998989105225,0.5185999870300293,0.41819998621940613,0.3879999816417694,0.4953599810600281
pixelate,0.818399965763092,0.8125999569892883,0.741599977016449,0.5870000123977661,0.4860000014305115,0.6891199827194214
gaussian_noise,0.7215999960899353,0.6075999736785889,0.4023999869823456,0.22119998931884766,0.09059999883174896,0.4086799889802933
defocus_blur,0.6811999678611755,0.6057999730110168,0.4593999981880188,0.33480000495910645,0.2386000007390976,0.46395998895168306
brightness,0.8445999622344971,0.8251999616622925,0.793999969959259,0.7473999857902527,0.6857999563217163,0.7793999671936035
fog,0.729200005531311,0.6675999760627747,0.5881999731063843,0.5411999821662903,0.3815999925136566,0.5815599858760834
zoom_blur,0.6556000113487244,0.5785999894142151,0.5379999876022339,0.4787999987602234,0.431799978017807,0.5365599930286408
frost,0.7253999710083008,0.5627999901771545,0.4477999806404114,0.42419999837875366,0.3540000021457672,0.5028399884700775
glass_blur,0.7163999676704407,0.6128000020980835,0.41200000047683716,0.323199987411499,0.23119999468326569,0.4591199904680252
impulse_noise,0.5965999960899353,0.45899999141693115,0.3555999994277954,0.18439999222755432,0.08739999681711197,0.33659999519586564
contrast,0.7554000020027161,0.6829999685287476,0.540399968624115,0.26100000739097595,0.08760000020265579,0.4654799893498421
jpeg_compression,0.7999999523162842,0.7770000100135803,0.7558000087738037,0.6746000051498413,0.5525999665260315,0.7119999885559082
elastic_transform,0.7897999882698059,0.6087999939918518,0.7799999713897705,0.7293999791145325,0.5353999733924866,0.6886799812316895
average,0.7300933162371318,0.6347866495450337,0.5506933212280274,0.43482666015625,0.3323866566022237,0.5365573207537333
